endTime,artistName,trackName,msPlayed
2023-11-25 10:24,JEON SOMI,DUMB DUMB,3687
2023-12-06 15:45,Carly Rae Jepsen,I Really Like You,180013
2023-12-08 19:39,2Pac,California Love - Original Version,10797
2023-12-08 19:39,2Pac,Hit 'Em Up - Single Version,312626
2023-12-08 19:39,2Pac,Hit 'Em Up - Single Version,12904
2023-12-08 19:53,50 Cent,In Da Club,952
2023-12-08 19:54,50 Cent,In Da Club,696
2023-12-08 19:54,50 Cent,P.I.M.P.,41703
2023-12-08 19:57,50 Cent,Many Men (Wish Death),220241
2023-12-08 19:58,50 Cent,Candy Shop,48018
2023-12-09 00:28,Tessa Violet,Crush,216266
2023-12-09 00:32,"Earth, Wind & Fire",September,215080
2023-12-09 00:36,Owl City,Shooting Star,247346
2023-12-09 00:39,bbno$,help herself,188571
2023-12-09 00:48,Santana,Smooth (feat. Rob Thomas),294986
2023-12-09 00:52,ERA,Ameno,235226
2023-12-09 00:56,Carly Rae Jepsen,Fever,184986
2023-12-09 00:59,Shawn Mendes,There's Nothing Holdin' Me Back,199440
2023-12-09 01:03,Meghan Trainor,All About That Bass,187920
2023-12-09 01:09,Selena Gomez,Kill Em With Kindness,217906
2023-12-09 01:14,Shawn Mendes,Señorita,190960
2023-12-09 01:18,Andy Law 罗志聪,Yi Jian Mei 一剪梅,233000
2023-12-09 01:21,Carly Rae Jepsen,Want You In My Room - Recorded at Electric Lady Studios NYC,161941
2023-12-09 01:25,NF,CLOUDS,243760
2023-12-09 01:29,Carly Rae Jepsen,This Kiss,228866
2023-12-09 01:30,RJ Pasin,Fire Emblem,98823
2023-12-09 01:34,Carly Rae Jepsen,Tiny Little Bows,201560
2023-12-09 01:37,The Vamps,Somebody To You,185097
2023-12-09 01:40,gamaliél,"A Whole New World - From ""Aladdin""",159677
2023-12-09 01:44,Train,50 Ways to Say Goodbye,247946
2023-12-09 01:48,Kendrick Lamar,All The Stars (with SZA),232186
2023-12-09 01:52,Louis Tomlinson,Back to You (feat. Bebe Rexha & Digital Farm Animals),14493
2023-12-09 01:52,Breakbot,Baby I'm Yours,1927
2023-12-09 01:52,Neil Diamond,Sweet Caroline,203573
2023-12-09 01:56,Olivia Rodrigo,good 4 u,178146
2023-12-09 02:00,Dayglow,Can I Call You Tonight?,210101
2023-12-09 04:50,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),4522
2023-12-09 09:51,Tessa Violet,Crush,24891
2023-12-09 09:52,Daisy Jones & The Six,Let Me Down Easy,40680
2023-12-09 09:56,James Henry Jr.,Take Me Down Easy,248616
2023-12-09 09:58,James Henry Jr.,Take Me Down Easy,94183
2023-12-09 09:58,d4vd,Romantic Homicide,6530
2023-12-09 09:58,Avril Lavigne,Bite Me,13290
2023-12-09 09:58,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",4070
2023-12-09 09:58,Billie Eilish,Billie Bossa Nova,27590
2023-12-09 10:02,Billie Eilish,Getting Older,244221
2023-12-09 10:05,Billie Eilish,I Didn't Change My Number,158463
2023-12-09 10:09,Billie Eilish,Billie Bossa Nova,196730
2023-12-09 10:12,Billie Eilish,my future,210005
2023-12-09 10:16,Billie Eilish,Oxytocin,210232
2023-12-09 10:18,Billie Eilish,GOLDWING,151536
2023-12-09 10:22,Billie Eilish,Lost Cause,212496
2023-12-09 10:25,Billie Eilish,Halley's Comet,234761
2023-12-09 10:29,Billie Eilish,Not My Responsibility,227679
2023-12-09 10:33,Billie Eilish,OverHeated,214058
2023-12-09 10:36,Billie Eilish,Everybody Dies,206622
2023-12-09 10:40,Billie Eilish,Your Power,245896
2023-12-09 10:44,Billie Eilish,NDA,195776
2023-12-09 10:47,Billie Eilish,Therefore I Am,173539
2023-12-09 10:52,Billie Eilish,Happier Than Ever,298899
2023-12-09 10:55,Billie Eilish,Male Fantasy,194886
2023-12-09 10:59,Billie Eilish,Getting Older,244221
2023-12-09 11:02,Billie Eilish,I Didn't Change My Number,158463
2023-12-09 11:05,Billie Eilish,Billie Bossa Nova,196730
2023-12-09 11:10,Billie Eilish,my future,210005
2023-12-09 11:14,Billie Eilish,Oxytocin,210232
2023-12-09 11:14,Billie Eilish,GOLDWING,33460
2023-12-09 16:34,Masked Wolf,Astronaut In The Ocean,132780
2023-12-09 16:37,Calum Scott,You Are The Reason - Duet Version,190760
2023-12-09 16:41,mxmtoon,ok on your own,208333
2023-12-09 16:42,Why Don't We,Hooked,64261
2023-12-09 16:45,Tiffany Day,IF I DON'T TEXT YOU FIRST,133547
2023-12-09 16:48,WILLOW,Wait a Minute!,196520
2023-12-09 16:51,A-Wall,Solo,157377
2023-12-09 16:55,half•alive,still feel.,247786
2023-12-09 16:58,Harry Styles,Watermelon Sugar,174000
2023-12-09 17:01,MICO,cut my hair,176223
2023-12-09 17:02,Olivia Rodrigo,deja vu,93487
2023-12-09 17:05,Olivia Rodrigo,"jealousy, jealousy",173160
2023-12-09 17:08,Carly Rae Jepsen,Call Me Maybe,193400
2023-12-09 17:11,Taylor Swift,Cruel Summer,178426
2023-12-09 17:15,Taylor Swift,Blank Space (Taylor's Version),231833
2023-12-09 17:18,Olivia Rodrigo,"jealousy, jealousy",173160
2023-12-09 17:20,Olivia Rodrigo,"jealousy, jealousy",124182
2023-12-09 17:23,Sabrina Carpenter,Nonsense,163648
2023-12-09 17:26,Nicky Youre,Sunroof,163025
2023-12-09 17:29,Saint Motel,My Type,206393
2023-12-09 17:33,Breakbot,Baby I'm Yours,215786
2023-12-09 17:36,Taylor Swift,Getaway Car,16682
2023-12-09 17:36,The Band CAMINO,I Think I Like You,182658
2023-12-09 17:40,American Football,Never Meant,268333
2023-12-09 17:44,MGMT,Electric Feel,229640
2023-12-09 17:47,starfall,tied up,155200
2023-12-09 17:48,Gorillaz,Feel Good Inc.,50470
2023-12-09 22:17,Gorillaz,Feel Good Inc.,171979
2023-12-09 22:20,Harry Styles,Watermelon Sugar,174000
2023-12-09 22:25,Sabrina Carpenter,Feather,185552
2023-12-09 22:27,Go-Jo,Mrs. Hollywood,143840
2023-12-09 22:30,A-Wall,Solo,157377
2023-12-09 22:32,ROLE MODEL,blind,153293
2023-12-09 22:35,MICO,cut my hair,176223
2023-12-09 22:37,Rosa Walton,I Really Want to Stay at Your House,108423
2023-12-09 22:40,Sabrina Carpenter,Sue Me,179226
2023-12-09 22:43,Charlie Puth,I Don’t Think That I Like Her,188507
2023-12-09 22:46,Chris James,29,138281
2023-12-09 22:48,Charlie Puth,Charlie Be Quiet!,128364
2023-12-09 22:53,Olivia Rodrigo,good 4 u,178146
